,code,name,country,daily_capacity,geo_lat,geo_lng
101,ASN,Assen,NL,52905.375,52.991664886475,6.5708332061768
102,BL,Beilen,NL,18549.4375,52.854721069336,6.5211110115051
103,HGV,Hoogeveen,NL,18201.4375,52.733890533447,6.4736108779907
104,MP,Meppel,NL,63428.5625,52.69083404541,6.1975002288818
105,ZL,Zwolle,NL,151348.5,52.504722595215,6.0919442176819
106,LW,Leeuwarden,NL,46198.625,53.195835113525,5.7922220230103
107,GW,Grou-Jirnsum,NL,14922.125,53.088890075684,5.8225002288818
108,AKM,Akkrum,NL,14922.125,53.046390533447,5.843611240387
109,HR,Heerenveen,NL,46198.625,52.961387634277,5.9141664505005
110,WV,Wolvega,NL,14922.125,52.880832672119,6.0036110877991
111,SWK,Steenwijk,NL,46198.625,52.791510992432,6.1145557632446
112,HT,'s-Hertogenbosch,NL,165765.8125,51.69048,5.29362
113,EHV,Eindhoven Centraal,NL,172151.75,51.443332672119,5.4813890457153
114,WT,Weert,NL,74788.25,51.248611450195,5.7036108970642
115,RM,Roermond,NL,54650.5,51.193054199219,5.9941668510437
116,STD,Sittard,NL,65467.5,51.001667022705,5.8586111068726
117,MT,Maastricht,NL,33973.5,50.850276947021,5.7055554389954
118,LAA,Den Haag Laan v NOI,NL,95572.25,52.078609466553,4.3427777290344
119,GVM,Den Haag Mariahoeve,NL,27277.25,52.090557098389,4.3694443702698
120,VST,Voorschoten,NL,27277.25,52.1252784729,4.4324998855591
121,DVNK,De Vink,NL,27277.25,52.147220611572,4.4563889503479
122,SSH,Sassenheim,NL,29096.1875,52.215278,4.517222
123,NVP,Nieuw Vennep,NL,29096.1875,52.258888244629,4.6455554962158
124,UTLR,Utrecht Leidsche Rijn,NL,26030.5625,52.09896,5.06523
125,UTT,Utrecht Terwijde,NL,26030.5625,52.1000753,5.0439547
126,VTN,Vleuten,NL,26030.5625,52.103056,5.007404
127,UTO,Utrecht Overvecht,NL,60099.875,52.110000610352,5.1247220039368
128,HOR,Hollandsche Rading,NL,17474.0625,52.17777633667,5.1791667938232
129,HVSP,Hilversum Sportpark,NL,28217.375,52.216110229492,5.1872220039368
130,EHS,Eindhoven Strijp-S,NL,38170.4375,51.451110839844,5.4558334350586
131,BET,Best,NL,39330.4375,51.509998321533,5.3891668319702
132,BTL,Boxtel,NL,39620.4375,51.58433,5.31912
133,VG,Vught,NL,16731.5,51.655555725098,5.2919445037842
134,HAD,Heemstede-Aerdenhout,NL,84753.25,52.35916519165,4.6066665649414
135,UTZL,Utrecht Zuilen,NL,20403.4375,52.103055,5.09
136,MAS,Maarssen,NL,20430.6875,52.135276794434,5.0336112976074
