id,code,uic,name_long,slug,country,type,geo_lat,geo_lng,municipalities,tot_pop
268,HTNC,8400335,Houten Castellum,houten-castellum,NL,stoptreinstation,52.01701,5.17949,"['Houten', 'Vianen']",68000.0
295,KRD,8400355,Kerkrade Centrum,kerkrade-centrum,NL,knooppuntStoptreinstation,50.861667633057,6.0574998855591,"['Kerkrade', 'Simpelveld', 'Vaals']",67299.0
225,HD,8400294,Harderwijk,harderwijk,NL,knooppuntStoptreinstation,52.337501525879,5.619722366333,"['Harderwijk', 'Zeewolde']",67284.0
142,DRH,8400183,Driehuis,driehuis,NL,stoptreinstation,52.442501068115,4.6380553245544,['Velsen'],67231.0
112,BZL,8400354,Kapelle-Biezelinge,kapelle-biezelinge,NL,stoptreinstation,51.480834960938,3.9561111927033,"['Kapelle', 'Terneuzen']",67219.0
137,DN,8400172,Deurne,deurne,NL,stoptreinstation,51.455833435059,5.7888889312744,"['Asten', 'Deurne', 'Someren']",66848.0
816,WADT,8400677,Waddinxveen Triangel,waddinxveen-triangel,NL,stoptreinstation,52.02725,4.6491,"['Waddinxveen', 'Zuidplas']",66398.0
517,WT,8400684,Weert,weert,NL,intercitystation,51.248611450195,5.7036108970642,"['Nederweert', 'Weert']",65500.0
327,MAS,8400419,Maarssen,maarssen,NL,stoptreinstation,52.135276794434,5.0336112976074,['Stichtse Vecht'],63823.0
185,ETN,8400218,Etten-Leur,etten-leur,NL,intercitystation,51.57500076294,4.6358332633972,"['Etten-Leur', 'Zundert']",63725.0
528,ZBM,8400732,Zaltbommel,zaltbommel,NL,stoptreinstation,51.80888748169,5.2633333206177,"['Maasdriel', 'Neerijnen', 'Zaltbommel']",63426.0
489,VNDC,8400627,Veenendaal Centrum,veenendaal-centrum,NL,knooppuntStoptreinstation,52.020000457764,5.548611164093,['Veenendaal'],63207.0
239,HKS,8400334,Hoogkarspel,hoogkarspel,NL,stoptreinstation,52.69055557251,5.1838889122009,"['Drechterland', 'Medemblik']",62588.0
450,SWK,8400578,Steenwijk,steenwijk,NL,intercitystation,52.791510992432,6.1145557632446,"['Steenwijkerland', 'Westerveld']",62274.0
218,GZ,8400251,Gilze-Rijen,gilze-rijen,NL,stoptreinstation,51.583610534668,4.9261112213135,"['Alphen-Chaam', 'Dongen', 'Gilze en Rijen']",61114.0
267,HTN,8400340,Houten,houten,NL,knooppuntStoptreinstation,52.03402,5.16821,['Nieuwegein'],61017.0
458,TL,8400596,Tiel,tiel,NL,knooppuntStoptreinstation,51.889446258545,5.4222221374512,"['Tiel', 'West Maas en Waal']",60120.0
63,BDG,8400121,Bodegraven,bodegraven,NL,stoptreinstation,52.081390380859,4.7461109161377,"['Bodegraven-Reeuwijk', 'Nieuwkoop']",60100.0
226,HDB,8400293,Hardenberg,hardenberg,NL,sneltreinstation,52.572776794434,6.6286110877991,['Hardenberg'],59592.0
428,SHL,8400561,Schiphol Airport,schiphol-airport,NL,megastation,52.30944442749,4.7619442939758,"['Aalsmeer', 'Uithoorn']",59199.0
84,BMN,8400136,Brummen,brummen,NL,stoptreinstation,52.091110229492,6.1469445228577,"['Bronckhorst', 'Brummen']",58110.0
372,ODZ,8400483,Oldenzaal,oldenzaal,NL,stoptreinstation,52.30638885498,6.9347224235535,"['Dinkelland', 'Oldenzaal']",58089.0
820,LLZM,8400135,Lansingerland-Zoetermeer,lansingerland-zoetermeer,NL,stoptreinstation,52.042222,4.517222,['Lansingerland'],57188.0
85,BMR,8400128,Boxmeer,boxmeer,NL,knooppuntStoptreinstation,51.644521767653,5.9390330314636,"['Boxmeer', 'Gennep', 'Sint Anthonis']",57116.0
415,RV,8400518,Reuver,reuver,NL,stoptreinstation,51.28321916653,6.0789585113525,"['Beesel', 'Peel en Maas']",56891.0
145,DTC,8400177,Doetinchem,doetinchem,NL,knooppuntStoptreinstation,51.9585962,6.2962148,['Doetinchem'],56350.0
161,EC,8400195,Echt,echt,NL,stoptreinstation,51.100555419922,5.8788890838623,"['Echt-Susteren', 'Maasgouw']",55828.0
196,GDG,8400257,Gouda Goverwelle,gouda-goverwelle,NL,stoptreinstation,52.014999389648,4.7408332824707,['Krimpenerwaard'],54287.0
89,BNN,8400092,Barneveld Noord,barneveld-noord,NL,stoptreinstation,52.161388397217,5.5980553627014,['Barneveld'],54176.0
482,VG,8400667,Vught,vught,NL,stoptreinstation,51.655555725098,5.2919445037842,"['Sint-Michielsgestel', 'Vught']",53812.0
502,WC,8400710,Wijchen,wijchen,NL,stoptreinstation,51.811668395996,5.730833530426,"['Grave', 'Wijchen']",53706.0
102,BRN,8400086,Baarn,baarn,NL,knooppuntStoptreinstation,52.208332061768,5.2808332443237,"['Baarn', 'Bunschoten', 'Eemnes']",53664.0
455,TBR,8400598,Tilburg Reeshof,tilburg-reeshof,NL,stoptreinstation,51.573612213135,4.9944443702698,"['Baarle-Nassau', 'Waalwijk']",53132.0
198,GDM,8400244,Geldermalsen,geldermalsen,NL,knooppuntStoptreinstation,51.88301,5.27127,"['Buren', 'Geldermalsen']",52334.0
468,UTG,8400615,Uitgeest,uitgeest,NL,knooppuntStoptreinstation,52.521667480469,4.7016668319702,"['Heemskerk', 'Uitgeest']",52334.0
371,ODB,8400498,Oudenbosch,oudenbosch,NL,stoptreinstation,51.587776184082,4.5333333015442,"['Halderberge', 'Rucphen']",51592.0
294,KPN,8400353,Kampen,kampen,NL,stoptreinstation,52.559722900391,5.9216666221619,['Kampen'],51069.0
495,VST,8400659,Voorschoten,voorschoten,NL,stoptreinstation,52.1252784729,4.4324998855591,"['Voorschoten', 'Wassenaar']",50727.0
116,CL,8400154,Culemborg,culemborg,NL,stoptreinstation,51.946666717529,5.2269444465637,"['Culemborg', 'Wijk bij Duurstede']",50610.0
379,OST,8400486,Olst,olst,NL,intercitystation,52.334720611572,6.1130557060242,"['Epe', 'Olst-Wijhe']",50112.0
395,RB,8400521,Rilland-Bath,rilland-bath,NL,stoptreinstation,51.422779083252,4.1611108779907,"['Hulst', 'Reimerswaal']",49317.0
337,MP,8400435,Meppel,meppel,NL,knooppuntStoptreinstation,52.69083404541,6.1975002288818,"['Meppel', 'Staphorst']",49240.0
147,DTCP,8400166,Delft Campus,delft-campus,NL,stoptreinstation,51.990833282471,4.3647222518921,"['Brielle', 'Midden-Delfland', 'Westvoorne']",48732.0
329,MDB,8400436,Middelburg,middelburg,NL,stoptreinstation,51.494720458984,3.6172223091126,['Middelburg'],47660.0
534,ZP,8400744,Zutphen,zutphen,NL,knooppuntIntercitystation,52.145278930664,6.1941666603088,['Zutphen'],47154.0
526,ZA,8400734,Zetten-Andelst,zetten-andelst,NL,stoptreinstation,51.920056,5.7228408,['Overbetuwe'],46653.0
184,EST,8400207,Elst,elst,NL,knooppuntStoptreinstation,51.916942596435,5.8550000190735,['Lingewaard'],45814.0
276,HZE,8400308,Heeze,heeze,NL,stoptreinstation,51.384998321533,5.5694446563721,"['Heeze-Leende', 'Valkenswaard']",45729.0
227,HDE,8400388,'t Harde,t-harde,NL,stoptreinstation,52.4091682,5.893611,"['Elburg', 'Oldebroek']",45482.0
420,SD,8400569,Soestdijk,soestdijk,NL,stoptreinstation,52.183612823486,5.3000001907349,['Soest'],45430.0
400,RL,8400537,Ruurlo,ruurlo,NL,stoptreinstation,52.0810888,6.4492656,['Berkelland'],44650.0
397,RH,8400519,Rheden,rheden,NL,stoptreinstation,52.0101,6.0314,['Rheden'],43563.0
237,HIL,8400329,Hillegom,hillegom,NL,stoptreinstation,52.302501678467,4.5655555725098,"['Hillegom', 'Lisse']",43363.0
266,HT,8400319,'s-Hertogenbosch,s-hertogenbosch,NL,knooppuntIntercitystation,51.69048,5.29362,['Heusden'],43180.0
492,VRY,8400646,Venray,venray,NL,knooppuntStoptreinstation,51.526568099007,6.0141777992248,['Venray'],43120.0
81,BKL,8400133,Breukelen,breukelen,NL,knooppuntStoptreinstation,52.17149,4.9906,['De Ronde Venen'],42648.0
77,BHV,8400114,Bilthoven,bilthoven,NL,stoptreinstation,52.130001068115,5.2038888931274,['De Bilt'],42013.0
265,HRT,8400339,Horst-Sevenum,horst-sevenum,NL,stoptreinstation,51.426387786865,6.0422220230103,['Horst aan de Maas'],41718.0
78,BK,8400096,Beek-Elsloo,beek-elsloo,NL,stoptreinstation,50.947498321533,5.7866668701172,"['Beek', 'Stein']",41616.0
367,O,8400495,Oss,oss,NL,knooppuntIntercitystation,51.765556335449,5.5322222709656,['Uden'],40934.0
